time	V(x1)
Step Information: Run=1  (Step: 1/100)
0.000000000000000e+00	4.381512e+00
5.000000000000000e-09	4.381512e+00
5.000534374693131e-09	4.381512e+00
5.001603124079394e-09	4.381512e+00
5.003740622851919e-09	4.381512e+00
5.005725002454950e-09	4.381512e+00
5.006031240793938e-09	4.381512e+00
5.006643717471913e-09	4.381512e+00
5.007868670827863e-09	4.381512e+00
5.010000000000000e-09	4.381512e+00
5.010213132917213e-09	4.381512e+00
5.010639398751641e-09	4.381512e+00
5.011491930420496e-09	4.381512e+00
5.013196993758205e-09	4.381512e+00
5.016607120433623e-09	4.381512e+00
5.023427373784461e-09	4.381512e+00
5.037067880486137e-09	4.381512e+00
5.064348893889487e-09	4.381512e+00
5.089672116829454e-09	4.381512e+00
5.119276109241318e-09	4.381512e+00
5.149579309507519e-09	4.381512e+00
5.175697474463290e-09	4.381512e+00
5.207698117212789e-09	4.381512e+00
5.256526242212789e-09	4.381512e+00
5.305354367212790e-09	4.381512e+00
5.354182492212790e-09	4.381512e+00
5.403010617212790e-09	4.381512e+00
5.451838742212791e-09	4.381512e+00
5.500666867212791e-09	4.381512e+00
5.549494992212791e-09	4.381512e+00
5.598323117212792e-09	4.381512e+00
5.647151242212792e-09	4.381512e+00
5.695979367212792e-09	4.381512e+00
5.744807492212793e-09	4.381512e+00
5.793635617212793e-09	4.381512e+00
5.842463742212794e-09	4.381512e+00
5.891291867212794e-09	4.381512e+00
5.940119992212794e-09	4.381512e+00
5.988948117212795e-09	4.381512e+00
6.037776242212795e-09	4.381512e+00
6.086604367212795e-09	4.381512e+00
6.135432492212796e-09	4.381512e+00
6.184260617212796e-09	4.381512e+00
6.233088742212796e-09	4.381512e+00
6.281916867212797e-09	4.381512e+00
6.330744992212797e-09	4.381512e+00
6.379573117212798e-09	4.381512e+00
6.721369992212800e-09	4.381512e+00
1.000000000000000e-08	4.381512e+00
1.001000000000000e-08	4.381512e+00
1.001100000000000e-08	4.381512e+00
1.001300000000000e-08	4.381512e+00
1.001600000000000e-08	4.381512e+00
1.002000000000000e-08	4.381512e+00
1.002040000000000e-08	4.381512e+00
1.002120000000000e-08	4.381512e+00
1.002280000000000e-08	4.381512e+00
1.002600000000000e-08	4.381512e+00
1.003240000000000e-08	4.381512e+00
1.004520000000000e-08	4.381512e+00
1.007080000000000e-08	4.381512e+00
1.010009498510636e-08	4.381512e+00
1.013873394523054e-08	4.381512e+00
1.017702445909867e-08	4.381512e+00
1.020800097783340e-08	4.381512e+00
1.024280553055378e-08	4.381512e+00
1.029163365555378e-08	4.381512e+00
1.034046178055378e-08	4.381512e+00
1.038928990555378e-08	4.381512e+00
1.043811803055378e-08	4.381512e+00
1.048694615555378e-08	4.381512e+00
1.053577428055378e-08	4.381512e+00
1.058460240555378e-08	4.381512e+00
1.063343053055378e-08	4.381512e+00
1.068225865555377e-08	4.381512e+00
1.073108678055377e-08	4.381512e+00
1.077991490555377e-08	4.381512e+00
1.082874303055377e-08	4.381512e+00
1.087757115555377e-08	4.381512e+00
1.092639928055377e-08	4.381512e+00
1.097522740555377e-08	4.381512e+00
1.102405553055377e-08	4.381512e+00
1.117053990555377e-08	4.381512e+00
1.499000000000000e-08	4.381512e+00
1.500000000000000e-08	4.381512e+00
1.500100000000000e-08	4.381512e+00
1.500300000000000e-08	4.381512e+00
1.500600000000000e-08	4.381512e+00
1.501000000000000e-08	4.381512e+00
1.501040000000000e-08	4.381512e+00
1.501120000000000e-08	4.381512e+00
1.501280000000000e-08	4.381512e+00
1.501600000000000e-08	4.381512e+00
1.502240000000001e-08	4.381512e+00
1.503520000000001e-08	4.381512e+00
1.506080000000002e-08	4.381512e+00
1.508607977207328e-08	4.381512e+00
1.511440366097401e-08	4.381512e+00
1.514425097395204e-08	4.381512e+00
1.516960229466703e-08	4.381512e+00
1.520104419822495e-08	4.381512e+00
1.524893711802623e-08	4.381512e+00
1.529776524302623e-08	4.381512e+00
1.534659336802623e-08	4.381512e+00
1.539542149302624e-08	4.381512e+00
1.544424961802624e-08	4.381512e+00
1.549307774302624e-08	4.381512e+00
1.554190586802624e-08	4.381512e+00
1.559073399302624e-08	4.381512e+00
1.563956211802624e-08	4.381512e+00
1.568839024302624e-08	4.381512e+00
1.573721836802624e-08	4.381512e+00
1.578604649302625e-08	4.381512e+00
1.583487461802625e-08	4.381512e+00
1.588370274302625e-08	4.381512e+00
1.593253086802625e-08	4.381512e+00
1.598135899302625e-08	4.381512e+00
1.603018711802625e-08	4.381512e+00
1.607901524302625e-08	4.381512e+00
1.612784336802625e-08	4.381512e+00
1.744620274302629e-08	4.381512e+00
2.000000000000001e-08	4.381512e+00
2.001000000000001e-08	4.381512e+00
2.001100000000001e-08	4.381512e+00
2.001300000000001e-08	4.381512e+00
